YEAR,day_of_year,count
2018,12-14,152
2018,12-15,139
2018,12-16,142
2018,12-17,136
2018,12-18,157
2018,12-19,142
2018,12-20,116
2018,12-21,163
2018,12-22,143
2018,12-23,102
2018,12-24,106
2018,12-25,85
2018,12-26,100
2018,12-27,110
2018,12-28,123
2018,12-29,106
2018,12-30,150
2018,12-31,134
2019,01-01,190
2019,01-02,116
2019,01-03,121
2019,01-04,137
2019,01-05,137
2019,01-06,119
2019,01-07,111
2019,01-08,119
2019,01-09,136
2019,01-10,128
2019,01-11,145
2019,01-12,103
2019,01-13,110
2019,01-14,132
2019,01-15,139
2019,01-16,144
2019,01-17,117
2019,01-18,121
2019,01-19,106
2019,01-20,91
2019,01-21,81
2019,01-22,115
2019,01-23,94
2019,01-24,143
2019,01-25,120
2019,01-26,124
2019,01-27,128
2019,01-28,126
2019,01-29,133
2019,01-30,102
2019,01-31,96
2019,02-01,162
2019,02-02,112
2019,02-03,149
2019,02-04,119
2019,02-05,154
2019,02-06,111
2019,02-07,143
2019,02-08,151
2019,02-09,146
2019,02-10,86
2019,02-11,114
2019,02-12,98
2019,02-13,102
2019,02-14,95
2019,02-15,128
2019,02-16,130
2019,02-17,115
2019,02-18,77
2019,02-19,107
2019,02-20,100
2019,02-21,110
2019,02-22,127
2019,02-23,115
2019,02-24,100
2019,02-25,154
2019,02-26,128
2019,02-27,107
2019,02-28,102
2019,03-01,161
2019,03-02,116
2019,03-03,105
2019,03-04,110
2019,03-05,126
2019,03-06,91
2019,03-07,113
2019,03-08,108
2019,03-09,138
2019,03-10,97
2019,03-11,103
2019,03-12,120
2019,03-13,144
2019,03-14,148
2019,03-15,142
2019,03-16,138
2019,03-17,125
2019,03-18,135
2019,03-19,100
2019,03-20,128
2019,03-21,113
2019,03-22,115
2019,03-23,112
2019,03-24,130
2019,03-25,115
2019,03-26,119
2019,03-27,155
2019,03-28,122
2019,03-29,143
2019,03-30,150
2019,03-31,112
2019,04-01,155
2019,04-02,117
2019,04-03,126
2019,04-04,123
2019,04-05,87
2019,04-06,139
2019,04-07,127
2019,04-08,115
2019,04-09,127
2019,04-10,109
2019,04-11,131
2019,04-12,136
2019,04-13,135
2019,04-14,124
2019,04-15,144
2019,04-16,106
2019,04-17,88
2019,04-18,113
2019,04-19,128
2019,04-20,127
2019,04-21,105
2019,04-22,120
2019,04-23,132
2019,04-24,137
2019,04-25,151
2019,04-26,133
2019,04-27,145
2019,04-28,141
2019,04-29,156
2019,04-30,133
2019,05-01,148
2019,05-02,118
2019,05-03,126
2019,05-04,136
2019,05-05,128
2019,05-06,132
2019,05-07,135
2019,05-08,120
2019,05-09,153
2019,05-10,127
2019,05-11,151
2019,05-12,110
2019,05-13,122
2019,05-14,114
2019,05-15,159
2019,05-16,135
2019,05-17,149
2019,05-18,160
2019,05-19,127
2019,05-20,147
2019,05-21,134
2019,05-22,164
2019,05-23,154
2019,05-24,143
2019,05-25,142
2019,05-26,133
2019,05-27,139
2019,05-28,133
2019,05-29,139
